"TEXT","TEXT","TEXT"
"customerid","name","version"
"JohnsonA","Hatity","2.0"
"JohnsonA","Redhold","2.0"
"JohnsonA","Ventosanzap","3.0"
"SAmanda","Transcof","1.0"
"PAmy02","Aerified","1.0"
"AmandaC","Tres-Zap","1.2"
"AmandaC","Vagram","2.0"
"AlbertS","Keylex","1.2"
"AmandaW","Cardguard","2.0"
"AmandaW","Stim","3.0"
"AmandaW","Transcof","1.1"
"AmandaM","Alphazap","1.1"
"AmandaM","Konklab","1.2"
"AmandaM","Sub-Ex","1.1"
"AmandaM","Toughjoyfax","3.0"
"AmandaM","Y-find","3.0"
"AmandaM","Zaam-Dox","1.2"
"TorresA2002","Alphazap","1.2"
"TorresA2002","Bitwolf","2.1"
"TorresA2002","Greenlam","2.0"
"AWebb2007","Aerified","2.0"
"AWebb2007","Andalax","1.1"
"AWebb2007","Cardify","1.0"
"AWebb2007","Daltfresh","1.1"
"AWebb2007","Greenlam","1.2"
"AWebb2007","Job","1.0"
"AWebb2007","Job","2.0"
"AJenkins2008","Cardguard","1.2"
"AJenkins2008","Flowdesk","1.1"
"PAmy02","Aerified","1.1"
"WelchA","Aerified","2.1"
"WelchA","Biodex","1.0"
"WelchA","Cardguard","1.0"
"WelchA","Solarbreeze","2.0"
"AnneK2010","Aerified","1.2"
"AnneK2010","Flowdesk","3.0"
"AnneK2010","Redhold","2.1"
"AnneK2010","Solarbreeze","1.0"
"FloresA2006","Asoka","2.0"
"FloresA2006","Holdlamis","2.0"
"FloresA2006","Voltsillam","1.1"
"FloresA2006","Voyatouch","1.1"
"CruzA","Viva","2.1"
"BPayne96","Stronghold","2.1"
"JenkinsB","Home Ing","1.2"
"JenkinsB","Otcom","3.0"
"JenkinsB","Temp","1.1"
"LawsonC01","Bytecard","3.0"
"LawsonC01","Domainer","1.2"
"LawsonC01","It","1.1"
"LawsonC01","Mat Lam Tam","3.0"
"CraigM10","Duobam","1.2"
"LClarence2003","Bitwolf","1.1"
"LClarence2003","Quo Lux","3.0"
"LClarence2003","Temp","3.0"
"LClarence2003","Tresom","1.2"
"LClarence2003","Veribet","2.1"
"LClarence2003","Y-Solowarm","1.1"
"LClarence2003","Zoolab","1.1"
"CCox1993","Bitwolf","1.0"
"CCynthia2003","Aerified","2.0"
"CCynthia2003","Mat Lam Tam","1.1"
"HDenise","Bigtax","1.1"
"HDenise","Flowdesk","2.1"
"HDenise","Namfix","1.0"
"HDenise","Sonsing","3.0"
"CampbellD","Cardguard","3.0"
"CampbellD","Cardify","1.0"
"CampbellD","Fintone","2.1"
"CampbellD","Flowdesk","3.0"
